pelvis_x,pelvis_y,pelvis_z,L5_x,L5_y,L5_z,L3_x,L3_y,L3_z,T12_x,T12_y,T12_z,T8_x,T8_y,T8_z,neck_x,neck_y,neck_z,head_x,head_y,head_z,shoulderRight_x,shoulderRight_y,shoulderRight_z,upperArmRight_x,upperArmRight_y,upperArmRight_z,forearmRight_x,forearmRight_y,forearmRight_z,handRight_x,handRight_y,handRight_z,shoulderLeft_x,shoulderLeft_y,shoulderLeft_z,upperArmLeft_x,upperArmLeft_y,upperArmLeft_z,forearmLeft_x,forearmLeft_y,forearmLeft_z,handLeft_x,handLeft_y,handLeft_z,upperLegRight_x,upperLegRight_y,upperLegRight_z,lowerLegRight_x,lowerLegRight_y,lowerLegRight_z,footRight_x,footRight_y,footRight_z,toeRight_x,toeRight_y,toeRight_z,upperLegLeft_x,upperLegLeft_y,upperLegLeft_z,lowerLegLeft_x,lowerLegLeft_y,lowerLegLeft_z,footLeft_x,footLeft_y,footLeft_z,toeLeft_x,toeLeft_y,toeLeft_z
2.255265,4.193766,0.914946,2.254719,4.186813,1.01085,2.245336,4.169784,1.113607,2.242479,4.161586,1.208728,2.239016,4.153194,1.303706,2.223605,4.130921,1.437169,2.200274,4.10305,1.530572,2.207491,4.16264,1.379799,2.106687,4.275327,1.371044,2.149676,4.395314,1.122133,2.157798,4.486515,0.901408,2.253424,4.118401,1.377729,2.364416,4.018495,1.352508,2.430841,4.018997,1.080876,2.387175,3.921107,0.867248,2.190899,4.240435,0.91859,2.107443,4.115567,0.544175,2.044934,4.00095,0.127472,1.927746,3.866025,0.076297,2.319621,4.147015,0.91253,2.378934,4.246439,0.52597,2.461358,4.369906,0.115818,2.355778,4.257874,0.017303
2.241316,4.171216,0.909914,2.240549,4.164325,1.005821,2.230879,4.147361,1.108562,2.227737,4.139224,1.20368,2.223968,4.130897,1.298652,2.208031,4.108795,1.432082,2.184214,4.081088,1.525411,2.192342,4.140514,1.374722,2.092115,4.253641,1.36508,2.136178,4.376284,1.117671,2.14253,4.464812,0.8958,2.23796,4.095943,1.372794,2.348104,3.995138,1.347429,2.415507,3.994382,1.076042,2.37399,3.898074,0.861237,2.176698,4.21756,0.913353,2.103596,4.090355,0.537571,2.025813,3.950433,0.132092,1.902745,3.816824,0.094131,2.30592,4.124794,0.907702,2.370084,4.232184,0.524118,2.460644,4.367082,0.119149,2.355752,4.257885,0.017362
2.22675,4.147774,0.905309,2.225889,4.141051,1.001226,2.216002,4.124279,1.103977,2.212622,4.116321,1.199102,2.208569,4.108183,1.294077,2.192114,4.08643,1.4275,2.167854,4.058949,1.520781,2.176827,4.118121,1.370071,2.077229,4.231723,1.359552,2.121966,4.355951,1.113049,2.126388,4.442076,0.890169,2.222141,4.07323,1.368347,2.331496,3.971583,1.342901,2.399834,3.970026,1.071752,2.361263,3.876344,0.855309,2.161938,4.193866,0.908583,2.097193,4.063949,0.532064,2.012554,3.908058,0.133627,1.884457,3.776586,0.104711,2.291546,4.101608,0.90326,2.359568,4.21419,0.521772,2.459262,4.362173,0.123799,2.355741,4.257891,0.017356
2.211466,4.123154,0.901257,2.210682,4.116729,0.997196,2.200674,4.100284,1.099989,2.197112,4.092627,1.195132,2.192796,4.084801,1.290122,2.175819,4.06357,1.423563,2.151153,4.036365,1.51682,2.160908,4.095256,1.365953,2.062207,4.209587,1.354863,2.107139,4.334046,1.108489,2.109522,4.418367,0.88489,2.205922,4.050056,1.364496,2.314533,3.947619,1.33905,2.383802,3.945755,1.068137,2.349065,3.855767,0.84952,2.146516,4.169057,0.904428,2.086799,4.03563,0.52825,2.007974,3.876384,0.129372,1.875648,3.747786,0.104092,2.276402,4.077176,0.899313,2.34688,4.191926,0.518764,2.457095,4.355543,0.130087,2.355605,4.257476,0.016972
2.195564,4.097642,0.897631,2.194985,4.091622,0.993599,2.184927,4.07563,1.096459,2.181228,4.068392,1.191631,2.176672,4.061002,1.286646,2.159182,4.04047,1.420132,2.134151,4.013605,1.51339,2.144623,4.072124,1.36226,2.046873,4.187221,1.35061,2.091597,4.310837,1.103767,2.091782,4.393624,0.879588,2.189347,4.026628,1.361132,2.297273,3.923458,1.335751,2.367431,3.921743,1.065066,2.337324,3.836493,0.843813,2.130534,4.143429,0.900741,2.073848,4.006117,0.525533,2.009255,3.852852,0.122032,1.873552,3.727949,0.09622,2.260585,4.05178,0.895753,2.332526,4.165923,0.515262,2.454261,4.346827,0.137694,2.355484,4.257056,0.016522
2.179355,4.071768,0.894669,2.179029,4.06626,0.990667,2.168942,4.050855,1.093613,2.165119,4.04416,1.188818,2.160325,4.037332,1.283862,2.142334,4.017665,1.417409,2.117011,3.991196,1.510701,2.128083,4.049149,1.359241,2.030812,4.164542,1.346616,2.075116,4.286363,1.098836,2.073393,4.367755,0.874147,2.1726,4.003443,1.358516,2.280144,3.899841,1.333264,2.350705,3.898629,1.062684,2.325921,3.818825,0.83879,2.114355,4.117597,0.897706,2.05975,3.9772,0.523343,2.009415,3.833645,0.114587,1.872834,3.711303,0.08446,2.244348,4.025867,0.892866,2.317409,4.135628,0.511494,2.450421,4.333637,0.146371,2.355818,4.257864,0.016867
2.162684,4.0452,0.892332,2.162639,4.040432,0.988367,2.152525,4.025874,1.091428,2.148571,4.019967,1.186675,2.143523,4.01395,1.281755,2.125031,3.995468,1.415397,2.099519,3.969521,1.508782,2.111034,4.026527,1.356878,2.013366,4.141333,1.3424,2.057333,4.260423,1.093226,2.054385,4.340707,0.868133,2.155482,3.98075,1.356702,2.26316,3.877229,1.331695,2.33352,3.876727,1.06105,2.314953,3.802982,0.834559,2.097842,4.09126,0.895215,2.044725,3.948917,0.52135,2.005167,3.817841,0.107365,1.87214,3.695735,0.066867,2.227525,3.999075,0.890685,2.301923,4.100187,0.507165,2.445585,4.314952,0.155998,2.357322,4.262419,0.017259
2.145706,4.018271,0.890659,2.145989,4.01435,0.986731,2.135869,4.000771,1.089925,2.131797,3.995776,1.185219,2.126498,3.990698,1.280341,2.107516,3.973566,1.414093,2.081888,3.948198,1.507605,2.09373,4.004063,1.355188,1.995193,4.117813,1.338442,2.038612,4.233218,1.087406,2.034728,4.312532,0.861979,2.138192,3.9583,1.355636,2.246306,3.85516,1.330939,2.315981,3.855723,1.060105,2.304323,3.788746,0.831011,2.081132,4.064719,0.893377,2.028551,3.92123,0.519885,1.999798,3.806362,0.100038,1.872824,3.683359,0.045386,2.210282,3.971765,0.889178,2.285674,4.060454,0.50257,2.439744,4.291793,0.166694,2.359282,4.268201,0.018444
2.129183,3.992499,0.89,2.129838,3.989176,0.986097,2.119742,3.976334,1.089392,2.11559,3.972018,1.184721,2.110077,3.96765,1.279871,2.090656,3.95155,1.413696,2.064915,3.926607,1.507293,2.07704,3.981593,1.354466,1.977853,4.094546,1.336006,2.019817,4.205388,1.082725,2.014559,4.283293,0.856859,2.121507,3.935836,1.355413,2.229965,3.832999,1.330944,2.29839,3.835316,1.059818,2.293612,3.775769,0.828423,2.065003,4.039484,0.892702,2.011982,3.895811,0.519367,1.996186,3.798169,0.094595,1.873613,3.674747,0.029231,2.193372,3.945465,0.888537,2.268389,4.018447,0.498819,2.432537,4.264839,0.178561,2.359992,4.268883,0.023516
2.11335,3.968718,0.890519,2.114516,3.965536,0.986616,2.104512,3.952982,1.089959,2.100339,3.948923,1.1853,2.094647,3.944849,1.280456,2.074796,3.929217,1.414277,2.048926,3.90443,1.507881,2.061327,3.959011,1.35482,1.961983,4.071722,1.335624,2.001084,4.176724,1.079512,1.993881,4.253019,0.853096,2.105739,3.913199,1.356056,2.214272,3.81041,1.3317,2.280532,3.815583,1.060111,2.282625,3.764249,0.826787,2.049746,4.016451,0.893518,1.994044,3.872954,0.520457,1.996003,3.793826,0.092237,1.874165,3.671278,0.023088,2.176971,3.920941,0.888763,2.24977,3.973486,0.495897,2.424118,4.233522,0.192556,2.359346,4.26353,0.035702
2.097974,3.946095,0.892052,2.099692,3.942804,0.988137,2.089811,3.930295,1.091495,2.085655,3.926261,1.186837,2.079821,3.922253,1.281985,2.05959,3.906771,1.415765,2.033596,3.881985,1.509335,2.046228,3.936423,1.356142,1.946946,4.049153,1.336764,1.982278,4.147435,1.077438,1.972691,4.221682,0.850367,2.090576,3.890548,1.357542,2.199092,3.787728,1.333216,2.262621,3.796447,1.061061,2.271557,3.753987,0.826112,2.03507,3.994723,0.895498,1.975709,3.852365,0.522494,1.997577,3.792768,0.091763,1.874822,3.671573,0.02227,2.160903,3.897427,0.889854,2.230114,3.926251,0.493818,2.414334,4.198409,0.207723,2.35745,4.253076,0.051774
2.08312,3.923655,0.894455,2.085128,3.920274,0.990531,2.075293,3.907801,1.093897,2.071155,3.903779,1.189239,2.065262,3.89981,1.284384,2.044865,3.88441,1.418146,2.018745,3.859609,1.511676,2.031529,3.913984,1.35841,1.93239,4.026842,1.339087,1.963859,4.118784,1.076871,1.951106,4.189261,0.84887,2.07587,3.868102,1.359893,2.184404,3.765322,1.33547,2.245607,3.777372,1.062876,2.260587,3.74405,0.826701,2.020879,3.973122,0.898161,1.960646,3.834839,0.523912,1.998775,3.792254,0.091557,1.875335,3.672071,0.021927,2.145392,3.874151,0.892,2.210043,3.880796,0.493736,2.402359,4.161877,0.221291,2.352923,4.233996,0.065149
2.068798,3.900797,0.897875,2.070686,3.897482,0.993958,2.060778,3.885146,1.097333,2.05666,3.881215,1.19268,2.05083,3.877331,1.287832,2.030586,3.862025,1.421628,2.004313,3.837252,1.515123,2.017163,3.891604,1.361825,1.918248,4.004691,1.342692,1.94572,4.09094,1.07812,1.92896,4.155603,0.84863,2.061586,3.845804,1.36331,2.170191,3.743182,1.338551,2.229886,3.757913,1.065738,2.249757,3.734299,0.828809,2.007122,3.950973,0.901487,1.95065,3.821069,0.523817,1.998866,3.79153,0.090999,1.875613,3.67164,0.020515,2.130502,3.850582,0.895518,2.189929,3.838621,0.496361,2.38782,4.124904,0.232853,2.345861,4.204932,0.073897
